.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Amy Baldwin","University of Central Arkansas","",true,true
"Lisa August","Canisius College","",false,false
"James Bennett","Herzing University","",false,false
"Sabrina Mathues","Brookdale Community College","",false,false
"Susan Monroe","Northern Virginia Community College","",false,false
"MJ O’Leary","WellnessMultiplied","",false,false
"Ann Pearson","San Jacinto College","",false,false
"Joshua Troesh","El Camino College","",false,false
"Margit Watts","University of Hawaii at Manoa","",false,false
