.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Julie Dahlquist","Texas Christian University","",true,true
"Rainford Knight","Florida Atlantic University","",true,false
"Alan S. Adams","Dean College","",false,false
"Curtis J. Bacon","Southern Oregon University","",false,false
"Samantha T. Cooper","Buena Vista University","",false,false
"Michael P. Griffin","University of Massachusetts Dartmouth","",false,false
"Kevin C. Higgins","Maryville University","",false,false
"Larry Musolino","Pennsylvania State University","",false,false
