.value.resource_heading, .value.resource_description, .value.resource_unlocked, .value.resource_icon, .value.link_external, .value.link_page, .value.link_document_url, .value.link_document_title, .value.link_text, .value.coming_soon_text, .value.updated, .value.print_link, .value.display_on_k12
"Student Getting Started Guide","<p data-block-key=""ku2u8"">Congratulations! You&#x27;ve got a free textbook. Download this guide to learn how to use it.<br/></p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/student_getting_started_guide.pdf","OpenStax Student Getting Started Guide 2020","Download",,,,false
"Video Series","<p data-block-key=""gw159"">Multiple sets of videos and playlists developed or curated by the Michelson 20MM Foundation. The animated videos were created to address core topics in Intellectual Property. The Entrepreneurs Guide to IP’ is a course offered through the University of Southern California’s Marshall School of Business, Greif Center for Entrepreneurial Studies. The course doubles as a speaker series and is designed to give students a practical, working knowledge of intellectual property.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","https://michelsonip.com/iptoolkit/",,,,"Go",,,,false
"Udemy Course: Intellectual Property - Inventors, Entrepreneurs, Creators","<p data-block-key=""fmx42"">This course by the Michelson Institute for Intellectual Property explains the basics of intellectual property policies and issues regarding patents, copyrights, trademarks, and trade secrets. The course is asynchronous and offered free of charge; users must enroll through Udemy to take the course.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","https://www.udemy.com/course/intellectual-property-inventors-entrepreneurs-creators/",,,,"Go",,,,false
"Student Time Management Guide","<p data-block-key=""eztlp"">Adapted from OpenStax College Success, this guide includes information about estimating time on tasks, avoiding procrastination, and using strategies to stick to your priorities.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Managing.Time.and.Priorities.Guide_V3UHava_6gJlYq4.pdf","Student Time Management Guide","Download",,,,false
