.value.resource_heading, .value.resource_description, .value.resource_unlocked, .value.resource_icon, .value.link_external, .value.link_page, .value.link_document_url, .value.link_document_title, .value.link_text, .value.coming_soon_text, .value.updated, .value.print_link, .value.display_on_k12
"Student Solution Guide","<p data-block-key=""krk29"">Need help studying? Access detailed solutions to problems and exercises in your OpenStax book.<br/></p>",false,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/Student_Solution_Manual-AP_College_Physics_2e_4oqrJZb.zip","College Physics for AP Courses Student Solution Guide","Download",,,,true
"Student Getting Started Guide","<p data-block-key=""ku2u8"">Congratulations! You&#x27;ve got a free textbook. Download this guide to learn how to use it.<br/></p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/student_getting_started_guide.pdf","OpenStax Student Getting Started Guide 2020","Download",,,,true
"Reading and Notetaking Guide","<p data-block-key=""8gs86"">Adapted from OpenStax <i>College Success</i>, this guide discusses effective reading approaches, study tips, and notetaking strategies for students.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Effective.Reading.and.Notetaking.Guide_E7WFZSP.pdf","Reading and Notetaking Guide","Download",,,,true
"Student Time Management Guide","<p data-block-key=""eztlp"">Adapted from OpenStax College Success, this guide includes information about estimating time on tasks, avoiding procrastination, and using strategies to stick to your priorities.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Managing.Time.and.Priorities.Guide_V3UHava_6gJlYq4.pdf","Student Time Management Guide","Download",,,,true
"Instructional Videos, Concept Trailers, and Problem Solution Videos","<p data-block-key=""7fkrv"">Access the videos of the AP® Physics Collection, organized in playlists by chapter on the OpenStax YouTube channel. </p><p data-block-key=""elgn1"">Instructional videos feature AP® teachers and Rice professors teaching core material; Concept Trailers are Hollywood studio-produced videos that bring key physics concepts to life; and problem solution videos feature instructors walking through example problems from the text.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","https://www.youtube.com/openstax",,,,"Go",,,,true
"AP® Lab Manual","<p data-block-key=""qfr2y"">Click here to access our lab manual containing 20+ lab activities to guide students understanding of AP® concepts.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/STUDENT_-_AP_Physics_Lab_Manual_Full_HvJftm9.pdf","College Physics for AP Courses Student Lab Manual","Download",,,,true
