.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Lawrence J. Gitman","San Diego State University - Emeritus","",true,false
"Carl McDaniel","University of Texas, Arlington","",true,false
"Amit Shah","Frostburg State University","",true,false
"Monique Reece","","",true,false
"Linda Koffel","Houston Community College","",true,false
"Bethann Talsma","Davenport University and Grand Rapids Community College","",true,false
"James C. Hyatt","University of The Cumberlands","",true,false
