.value.resource_heading, .value.resource_description, .value.resource_unlocked, .value.resource_icon, .value.link_external, .value.link_page, .value.link_document_url, .value.link_document_title, .value.link_text, .value.coming_soon_text, .value.updated, .value.print_link, .value.display_on_k12
"Student Getting Started Guide","<p data-block-key=""ku2u8"">Congratulations! You&#x27;ve got a free textbook. Download this guide to learn how to use it.<br/></p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/student_getting_started_guide.pdf","OpenStax Student Getting Started Guide 2020","Download",,,,false
"Student Solution Guide","<p data-block-key=""krk29"">Need help studying? Access detailed solutions to problems and exercises in your OpenStax book.<br/></p>",false,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/CollegePhysics-SSM_Cm0XONp.pdf","CollegePhysics_SSM.pdf","Download",,,,false
"Concept Trailers","<p data-block-key=""i6jer"">Bring key physics concepts to life with these professionally-produced, free 1-1.5 minute videos.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","https://www.youtube.com/playlist?list=PLCF-Lie6gOOTx_CUIBUUXkhH2ezY8zcJB&spfreload=10",,,,"Go",,,,false
"""How to Succeed in Physics"" Guide by Veritas Tutors","<p data-block-key=""oxq56"">Veritas Tutors has created a free &quot;How to Succeed in Physics&quot; study guide to teach you essential concepts, provide math review, and demonstrate problem-solving techniques.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/CAP_Veritas_Physics.pdf","""How to Succeed in Physics"" Guide by Veritas Tutors","Download",,,,false
"Expert TA Study","<p data-block-key=""m1v9s"">Practice Physics with Expert TA Study. Build and take assignments using expertly-vetted problems, equipped with hints and intuitive feedback. Study for exams, or get extra practice outside of class.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","https://theexpertta.com/our-product/openstax/",,,,"Explore",,,,false
"Reading and Notetaking Guide","<p data-block-key=""8gs86"">Adapted from OpenStax <i>College Success</i>, this guide discusses effective reading approaches, study tips, and notetaking strategies for students.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Effective.Reading.and.Notetaking.Guide_E7WFZSP.pdf","Reading and Notetaking Guide","Download",,,,false
"Student Time Management Guide","<p data-block-key=""eztlp"">Adapted from OpenStax College Success, this guide includes information about estimating time on tasks, avoiding procrastination, and using strategies to stick to your priorities.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Managing.Time.and.Priorities.Guide.pdf","Student Time Management Guide","Download",,,,false
