.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Mirande Valbrune","Esq. Employment Lawyer","",false,false
"Renee De Assis","Texas Woman's University","",false,false
"Suzanne Cardell","University of Massachusetts Dartmouth","",false,false
"Tess C. Taylor","Walden University","",false,false
"Dr. Natalie Sappleton","Smartly Institute","",false,false
"C. M. Mitchell","Ashford University","",false,false
"Kenneth Mitchell-Phillips","Portland Community College","",false,false
