.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Lynn Marecek","Santa Ana College","United States",true,true
"MaryAnne Anthony-Smith","Formerly of Santa Ana College","United States",true,false
"Andrea Honeycutt Mathis","Northeast Mississippi Community College","United States",true,false
