.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Nathan Keirns","Zane State College","",false,true
"Eric Strayer","Hartnell College","",false,true
"Heather Griffiths","Fayetteville State University","",false,true
"Susan Cody-Rydzewski","Georgia Perimeter College","",false,true
"Gail Scaramuzzo","Lackawanna College","",false,true
"Tommy Sadler","Union University","",false,true
"Sally Vyain","Ivy Tech Community College","",false,true
