.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Jennifer Hasty","University of Pennsylvania","",true,true
"David G. Lewis","Oregon State University","",true,false
"Marjorie M. Snipes","University of West Georgia","",true,false
