.value.resource_heading, .value.resource_description, .value.resource_unlocked, .value.resource_icon, .value.link_external, .value.link_page, .value.link_document_url, .value.link_document_title, .value.link_text, .value.coming_soon_text, .value.updated, .value.print_link, .value.display_on_k12
"Student Getting Started Guide","<p data-block-key=""ku2u8"">Congratulations! You&#x27;ve got a free textbook. Download this guide to learn how to use it.<br/></p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/student_getting_started_guide.pdf","OpenStax Student Getting Started Guide 2020","Download",,,,true
"Manipulative Mathematics for Students","<p data-block-key=""n66s4"">This collection of worksheets uses manipulatives to help you understand the concepts behind mathematical procedures and how and why they work.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/Prealgebra2e-Manipulative_Mathematics_for_Students.zip","Manipulative Mathematics - Student","Download",,,,true
"Links to Literacy","<p data-block-key=""6bx3e"">This set of 20 activities connects math-themed children’s books to topics in your textbook, giving you a simple, fun perspective on key topics and how they apply to real life situations.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/Prealgebra-LtLS_V7W5sN0.pdf","Link to Literacy Student","Download",,,,true
"Student Time Management Guide","<p data-block-key=""eztlp"">Adapted from OpenStax College Success, this guide includes information about estimating time on tasks, avoiding procrastination, and using strategies to stick to your priorities.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Managing.Time.and.Priorities.Guide_V3UHava_6gJlYq4.pdf","Student Time Management Guide","Download",,,,true
"Reading and Notetaking Guide","<p data-block-key=""8gs86"">Adapted from OpenStax <i>College Success</i>, this guide discusses effective reading approaches, study tips, and notetaking strategies for students.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Effective.Reading.and.Notetaking.Guide_E7WFZSP.pdf","Reading and Notetaking Guide","Download",,,,true
