.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Paul Peter Urone","California State University, Sacramento","",true,true
"Roger Hinrichs","State University of New York, College at Oswego","",true,false
"Fatih Gozuacik","Pennsylvania Department of Education","",false,false
"Denise Pattison","East Chambers ISD","",false,false
"Catherine Tabor","Northwest Early High School","",false,false
