.value.resource_heading, .value.resource_description, .value.resource_unlocked, .value.resource_icon, .value.link_external, .value.link_page, .value.link_document_url, .value.link_document_title, .value.link_text, .value.coming_soon_text, .value.updated, .value.print_link, .value.display_on_k12
"Student Getting Started Guide","<p data-block-key=""ku2u8"">Congratulations! You&#x27;ve got a free textbook. Download this guide to learn how to use it.<br/></p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/student_getting_started_guide.pdf","OpenStax Student Getting Started Guide 2020","Download",,,,false
"Student Answer Guide","<p data-block-key=""xmif8"">The Student Answer Guide contains answers to a subset of the problems and exercises in the text.</p>",false,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/IntermediateAlgebra-SAG.pdf","IntermediateAlgebra-SAG.pdf","Download",,,,false
"Answers to Be Prepared Exercises","<p data-block-key=""2o9ky""><br/>This resource provides the answers to the Be Prepared questions that begin each section of the textbook.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/IntermediateAlgebra-AnswerstoBePreparedExercises.pdf","IntermediateAlgebra-AnswerstoBePreparedExercises.pdf","Download",,,,false
"Previous PDF Version","<p data-block-key=""ygkev"">Click below to download the previous version of the Intermediate Algebra PDF. This version was used beginning in June 2017. The only difference between this version and the one available under “Get the book” in the Book Details tab is the numbering of Tables. The version under “Get this book” corrects an issue with table numbering.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/IntermediateAlgebra-OP_cafGmpv.pdf","Intermediate Algebra","Download",,,,false
"Reading and Notetaking Guide","<p data-block-key=""8gs86"">Adapted from OpenStax <i>College Success</i>, this guide discusses effective reading approaches, study tips, and notetaking strategies for students.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Effective.Reading.and.Notetaking.Guide_E7WFZSP.pdf","Reading and Notetaking Guide","Download",,,,false
"Student Time Management Guide","<p data-block-key=""eztlp"">Adapted from OpenStax College Success, this guide includes information about estimating time on tasks, avoiding procrastination, and using strategies to stick to your priorities.</p>",true,"https://assets.openstax.org/oscms-prodcms/media/original_images/resource_icon_2.png","",,"https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax.Managing.Time.and.Priorities.Guide.pdf","Student Time Management Guide","Download",,,,false
