.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Heather Griffiths","Fayetteville State University","",false,true
"Nathan Keirns","Zane State College","",false,true
"Eric Strayer","Hartnell College","",false,true
"Tommy Sadler","Union University","",false,true
"Susan Cody-Rydzewski","Georgia Perimeter College","",false,true
"Gail Scaramuzzo","Lackawanna College","",false,true
"Sally Vyain","Ivy Tech Community College","",false,true
"Jeff Bry","Minnesota State Community and Technical College at Moorhead","",false,true
"Faye Jones","Mississippi Gulf Coast Community College","",false,true
